latitude,longitude,r,ssr,ssrc,u100,v100,t2m,tcc
90,0.25,82.15851,4836864,6948352,0.00151062,-0.007843971,263.5517,0.9081554
90,0.25,94.26451,6858240,11665408,-0.00958252,0.004201889,273.63458,0.89472234
90,0.25,97.90996,7022592,14149632,-0.11999512,-0.055099487,273.9834,0.96687216
90,0.25,96.59175,3760128,8133120,-0.19000244,-0.04374695,272.82385,0.9659694
90,0.25,95.50093,414310.7,896465.2,-0.02142334,-0.0810194,264.69025,0.9695425
90,0.25,96.12344,8.64E-11,0,-0.0493927,-0.081944466,259.76077,0.9525654
90,0.25,98.03109,8.64E-11,0,-0.038726807,-0.021336555,249.93861,0.8472504
90,0.25,96.22543,8.64E-11,0,-0.21014118,-0.018857002,246.08252,0.7155067
90,0.25,95.98012,8.64E-11,0,-0.08136749,0.047055244,250.64105,0.8609744
90,0.25,97.287895,8.64E-11,0,-0.07725525,0.056394577,251.71616,0.8366666
90,0.25,100.1739,128686.69,179561.44,-0.044555664,0.08838844,251.45749,0.9023846
90,0.25,99.1256,1731584,2750464,-0.044403076,-0.06570816,255.00029,0.9319862
90,0.25,92.56503,4220928,6178304,-0.099487305,-0.030670166,266.87775,0.85557
90,0.25,89.864746,7482368,11395072,-0.03050232,0.052313805,273.425,0.84976655
90,0.25,97.12586,7217664,14944768,0.068603516,-0.025182724,273.78897,0.9613476
90,0.25,91.86337,4581888,9091072,0.095947266,0.07423115,272.56134,0.91041565
90,0.25,93.046486,639310.8,1379936,0.14852905,0.07893562,268.49554,0.97662354
90,0.25,90.44292,8.64E-11,0,0.007659912,0.043560028,262.52313,0.9711177
90,0.25,94.72186,8.64E-11,0,-0.027175903,0.21996975,262.28638,0.9694661
90,0.25,92.7253,8.64E-11,0,0.014648438,0.08188534,256.15698,0.9540335
90,0.25,95.841,8.64E-11,0,-0.08864021,0.055984497,252.02429,0.980554
90,0.25,99.036934,8.64E-11,0,0.07588196,0.06715298,248.13965,0.91941446
90,0.25,99.98453,126161.56,177623.12,0.029418945,0.123680115,248.96715,0.8961473
90,0.25,99.611046,1828352,2733568,-0.053863525,-0.072525024,255.00009,0.84852016
90,0.25,90.50285,4360192,6260224,-0.05871582,-0.03779602,263.471,0.86725765
90,0.25,90.14674,7969792,11788800,0.024917603,-0.10841656,273.4834,0.76542664
90,0.25,94.77079,6753280,13640704,-0.023010254,-0.03711605,274.00385,0.9556812
90,0.25,94.190155,4237824,8996352,0.14793396,0.113903046,272.91287,0.96102905
90,0.25,93.76273,603703.7,1176106.6,0.07321167,-0.024899483,268.4041,0.9820862
90,0.25,97.63458,8.64E-11,0,-0.043136597,-0.023691177,262.09686,0.9926631
90,0.25,91.22327,8.64E-11,0,-0.1742096,-0.06494522,254.4172,0.96663505
90,0.25,98.57302,8.64E-11,0,-0.19175339,0.069589615,252.8116,0.97602206
90,0.25,100.18324,8.64E-11,0,-0.1424284,-0.043899536,247.99716,0.8242101
90,0.25,94.57661,8.64E-11,0,-0.09561157,-0.1262579,254.6451,0.8235639
90,0.25,97.27664,113938,166334.56,-0.18386841,0.033823013,247.54768,0.9017114
90,0.25,96.98387,1866240,2708992,-0.031188965,-0.08115959,253.9917,0.882669
